0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,4,3,1,1,1,1,0,1,27,34,32,40,32,30,30,38,43,43,38,32,26,24,15,15,17,12,5,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,2,2,3,2,1,4,7,13,32,38,30,25,38,49,48,55,42,22,17,16,12,10,11,13,15,16,18,20,11,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
9,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,7,10,8,13,14,11,13,16,27,48,42,38,32,32,33,30,28,26,22,15,11,12,14,16,18,17,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
13,5,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,3,11,18,16,18,15,9,9,9,13,19,29,43,40,24,41,52,50,36,21,19,15,9,8,7,10,12,12,11,16,20,5,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
10,9,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1,6,9,10,14,26,22,13,10,12,14,21,27,29,36,41,44,36,30,30,28,26,18,13,10,10,12,9,9,10,11,16,21,5,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,4,12,12,9,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,3,2,1,1,0,1,1,0,0,1,1,0,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,6,10,22,27,29,22,12,13,14,18,21,25,32,48,47,43,38,31,20,16,17,14,12,16,13,10,10,9,7,8,10,8,15,18,5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,8,42,37,15,11,7,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,1,0,1,1,0,0,1,1,1,0,6,7,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,8,16,32,31,23,20,14,14,17,24,20,12,19,32,35,30,31,43,33,14,12,8,10,10,13,19,17,10,9,11,9,8,6,8,16,15,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,4,31,20,5,9,7,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,0,0,1,1,1,0,5,6,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,1,1,12,22,36,52,44,20,16,16,19,16,9,10,20,28,27,13,19,34,45,41,32,18,12,11,12,15,17,16,13,10,10,9,7,7,5,8,15,7,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,5,17,16,14,10,10,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,0,1,1,0,5,7,0,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,2,7,29,36,44,56,36,16,15,19,12,5,6,14,19,23,31,29,37,38,34,34,31,31,20,11,8,7,9,12,12,11,9,9,9,7,7,5,9,18,18,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,6,16,16,16,9,12,4,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,0,0,0,1,1,1,0,7,8,0,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,7,12,27,26,31,40,30,16,15,19,13,4,4,10,12,7,18,40,39,25,15,14,28,44,46,43,38,21,14,13,13,14,15,16,12,8,6,8,8,7,12,23,18,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3,11,10,11,10,11,4,0,1,1,1,1,1,1,1,0,0,0,1,1,1
1,1,0,0,1,1,1,0,0,0,1,1,1,0,6,7,0,2,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,9,27,25,33,50,41,23,15,10,3,2,4,3,3,4,5,11,23,26,20,13,6,6,17,24,20,18,16,13,12,14,12,15,21,24,19,12,9,9,5,7,12,19,16,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,13,14,12,13,12,5,0,1,1,1,1,1,1,0,0,1,0,0,1,1
1,0,1,0,0,0,0,1,1,0,1,1,1,0,5,7,1,1,1,3,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,7,21,23,23,48,47,35,15,10,5,4,5,4,4,3,3,4,5,3,1,2,3,3,1,0,0,1,1,5,8,10,10,8,5,6,13,14,10,11,12,8,7,12,14,19,13,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,18,14,15,16,15,6,0,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,0,5,6,0,3,8,9,4,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,5,18,20,26,34,41,26,12,8,5,3,4,4,3,3,3,4,6,6,3,2,2,2,2,3,3,2,1,1,1,2,3,5,5,5,4,5,9,11,12,10,10,13,12,12,10,4,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,12,13,10,8,10,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,2,1,5,5,1,3,4,4,3,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,9,20,21,18,34,36,25,20,9,5,3,3,5,4,3,3,4,6,6,3,2,3,3,2,2,3,2,2,3,3,3,5,5,5,5,6,7,7,10,13,15,12,11,12,12,14,10,5,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,19,22,21,19,25,30,26,15,8,7,5,3,4,5,4,2,4,9,14,6,3,3,3,2,5,9,10,10,9,6,4,3,5,5,5,7,8,5,3,6,10,13,12,13,13,14,13,9,3,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,12,22,25,26,27,29,27,19,12,10,8,6,3,3,5,9,7,7,11,12,12,12,8,9,12,17,17,16,14,15,11,8,6,4,4,4,5,5,6,7,7,8,8,10,15,18,18,17,11,5,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,13,16,19,27,32,38,33,26,16,14,12,11,13,13,14,14,14,12,12,12,15,20,20,21,24,28,29,26,21,20,20,17,14,11,8,5,6,7,5,6,7,6,6,8,9,13,18,19,15,7,2,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,7,1,0,4,15,20,26,39,37,36,33,25,21,24,24,23,26,24,25,27,27,29,29,27,32,35,45,49,44,38,36,34,30,29,25,20,20,16,10,8,7,6,7,7,7,6,7,7,9,14,18,16,9,5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,5,4,4,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,1,1,12,20,18,20,19,20,27,27,20,21,30,39,32,30,27,36,39,41,40,41,41,41,42,50,57,52,47,45,42,41,38,33,29,26,23,16,11,9,7,6,5,6,7,8,7,7,18,22,18,11,5,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,8,4,2,2,4,5,0,1,1,2,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,0,10,22,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,2,4,9,15,17,16,16,14,13,16,24,39,46,37,33,38,51,61,64,64,64,63,60,53,46,47,60,67,57,48,45,43,41,38,32,29,25,21,14,10,9,8,7,7,7,9,11,13,16,19,12,7,7,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,7,4,2,2,4,5,1,1,2,2,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,5,2,0,10,24,21,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,6,16,19,16,12,9,7,11,32,49,47,37,36,45,60,70,71,72,72,71,72,67,63,53,48,54,58,54,49,44,43,39,34,30,29,26,24,21,15,10,10,10,9,10,13,12,12,19,12,6,9,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,5,2,2,2,4,5,0,1,2,2,0,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1,1,2,2,2,0,10,4,3,24,25,21,5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,4,14,9,7,7,7,4,12,36,50,43,40,42,56,63,68,71,73,74,73,70,70,70,71,67,56,55,63,67,58,42,41,39,35,32,31,30,32,25,9,4,7,9,4,4,10,14,18,10,4,6,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,5,2,2,2,2,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1,2,2,2,0,7,1,9,27,23,23,5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,0,7,10,7,7,5,3,12,38,48,43,43,55,66,68,74,76,77,83,81,75,71,72,74,78,80,74,70,70,70,61,44,42,40,36,34,34,36,31,12,3,5,7,3,2,5,13,18,9,5,5,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,3,2,2,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1
5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,10,30,26,29,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,5,1,1,1,0,4,12,6,7,6,3,14,39,46,45,52,63,70,71,73,77,79,80,81,81,76,75,79,81,78,73,69,70,67,67,63,49,42,40,37,38,38,37,21,7,6,7,6,5,3,12,18,7,4,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,8,35,39,36,6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,13,9,5,5,4,15,41,45,51,61,67,70,72,74,76,78,76,75,77,77,76,77,76,71,69,67,67,67,65,68,69,58,48,43,40,39,40,34,14,5,7,7,7,3,12,18,3,5,4,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,4,6,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1
10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,1,1,1,10,12,8,7,7,18,45,50,60,68,76,75,75,76,74,73,72,72,72,72,71,71,70,68,67,67,67,68,66,66,68,72,65,50,44,40,40,40,24,7,8,8,9,4,14,12,3,5,5,4,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,21,25,21,22,27,21,1,1,2,2,1,1,1,1,1,1,1,1,1,0
8,3,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3,1,1,1,1,0,7,13,10,12,8,27,50,58,69,75,74,72,71,70,71,71,71,72,72,68,67,68,68,68,67,66,63,57,49,44,45,46,48,45,46,45,40,41,32,10,9,8,8,7,15,9,3,4,4,5,4,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,32,29,23,17,18,20,2,1,3,2,1,1,1,1,1,1,1,1,1,5
6,3,1,1,1,0,0,0,0,1,1,1,1,0,7,5,1,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,5,14,11,12,7,35,57,68,73,62,54,48,45,44,47,54,61,66,67,65,65,65,65,63,54,44,34,27,25,27,33,38,39,36,35,41,42,42,38,16,7,8,6,8,15,4,3,3,4,4,5,4,1,0,1,0,0,1,0,0,1,1,1,1,1,1,29,28,23,25,41,31,1,1,2,1,1,1,1,1,1,1,1,1,0,11
7,3,1,1,0,0,0,0,0,0,1,1,1,0,6,5,1,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,2,14,14,14,12,44,63,64,54,52,50,48,44,37,33,32,40,51,55,59,63,63,58,50,46,41,40,43,48,53,55,54,53,49,45,40,42,42,43,21,6,9,7,11,12,1,3,3,3,4,4,6,5,1,1,1,1,1,1,0,1,1,1,1,1,0,30,35,29,34,47,32,1,0,1,1,1,1,1,1,1,1,1,1,1,0
7,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,3,3,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,4,1,0,1,1,2,2,9,14,18,16,54,64,54,57,69,72,71,65,54,47,48,47,47,48,55,62,62,55,49,47,45,44,40,34,34,37,41,47,52,54,49,46,45,45,25,4,7,10,10,6,2,3,3,3,4,5,5,6,4,1,1,1,1,1,1,1,1,1,1,0,0,30,36,35,35,36,32,2,1,1,1,1,1,1,1,1,1,1,1,0,3
7,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,2,7,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,1,1,11,24,20,17,25,65,62,60,69,61,42,28,19,16,21,29,40,41,45,61,71,69,60,49,41,36,27,17,10,5,5,10,19,30,45,52,49,45,46,32,5,8,12,20,20,1,3,3,3,3,4,4,6,5,3,1,0,1,1,1,1,1,1,1,1,0,30,38,37,38,41,33,2,1,1,1,1,1,1,1,1,1,1,1,0,16
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,0,10,55,73,58,26,36,70,61,64,53,33,31,29,30,29,28,21,23,29,50,69,78,79,65,52,34,20,19,21,31,41,45,41,34,29,27,38,40,42,45,39,10,8,28,46,41,2,2,3,2,3,3,5,5,5,5,4,1,1,0,1,1,1,1,1,1,0,28,34,31,31,33,30,3,1,2,2,1,1,1,1,1,1,1,1,0,22
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,4,2,1,2,0,29,70,70,73,48,45,70,66,59,43,47,58,62,63,58,52,47,47,52,63,69,77,77,67,58,51,37,35,41,50,54,56,54,51,42,34,35,41,44,45,45,15,23,46,39,38,3,1,2,2,2,3,4,5,5,5,5,4,3,1,0,0,1,1,1,1,0,24,30,26,27,28,27,3,0,2,2,1,1,1,1,1,1,1,1,0,20
0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,2,0,29,53,48,59,58,52,71,69,69,69,62,55,53,52,52,53,57,64,71,68,69,77,78,67,60,63,65,60,54,51,49,46,45,46,46,46,49,48,46,45,49,22,39,51,39,36,5,1,2,2,2,3,3,4,5,5,4,1,1,3,1,1,1,1,1,1,0,23,38,38,40,43,35,3,1,1,1,1,1,1,1,1,1,1,1,0,14
0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,0,25,51,36,52,47,56,73,70,72,72,70,69,69,69,70,69,70,75,72,71,72,78,80,65,63,64,69,74,71,68,67,65,63,63,64,62,62,61,52,45,52,27,32,56,47,36,6,0,2,2,3,3,3,4,4,4,5,3,1,6,4,1,1,1,1,1,1,5,10,10,12,14,10,1,1,1,1,1,1,1,1,1,1,1,1,0,7
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,2,0,21,59,36,51,45,60,72,71,74,75,76,77,79,80,78,79,83,78,70,72,73,78,79,68,66,67,65,69,74,75,75,76,76,74,72,69,64,63,62,50,51,30,24,47,51,38,5,1,2,2,2,2,3,3,4,3,5,4,5,5,7,3,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,12,57,53,69,50,61,70,72,74,76,77,79,80,79,79,87,83,74,72,73,72,78,78,69,67,61,63,68,72,76,78,79,78,75,72,70,66,63,58,53,52,32,27,38,47,40,5,0,1,1,2,2,2,3,3,3,3,4,4,5,7,6,0,1,1,1,0,2,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,48,64,71,54,58,70,71,72,74,77,81,83,85,84,87,82,74,70,71,73,80,78,71,68,55,52,64,72,72,75,76,76,75,72,70,68,66,57,52,51,30,29,31,43,40,4,0,1,1,2,2,2,3,3,3,4,4,4,6,6,7,5,0,1,1,1,1,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,32,67,67,56,56,70,70,73,74,78,80,79,82,81,78,75,66,66,71,76,83,77,72,68,60,57,50,65,70,72,73,72,72,70,68,66,62,56,51,50,26,27,31,45,36,2,1,1,1,2,2,2,3,3,3,3,3,5,5,5,6,7,2,0,1,1,1,2,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,16,64,67,63,58,69,69,73,74,75,75,74,74,74,70,61,62,73,72,77,82,76,72,69,63,69,57,55,65,68,69,69,69,67,65,63,59,53,51,49,23,31,42,43,30,0,1,1,1,2,2,3,2,2,3,3,3,4,5,5,5,7,7,1,0,1,1,1,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,55,72,74,59,66,69,70,72,72,72,72,71,69,63,57,67,76,72,73,74,74,71,66,58,61,56,53,58,63,66,66,65,63,62,60,55,52,53,45,21,43,41,43,23,0,2,1,1,2,2,2,2,2,2,3,3,4,4,5,5,5,8,5,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,45,73,75,60,63,68,69,70,70,70,70,69,64,58,60,67,71,68,69,68,65,65,59,57,58,49,52,60,55,63,63,62,60,58,56,55,53,54,40,23,47,45,45,11,0,2,1,1,1,2,2,2,2,2,2,3,3,3,4,5,6,7,7,3,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
